stock,sentiment,timestamp
FAISAL,0.6705,2026-04-30T01:55:48.352237
FAISAL,0.6486,2026-04-30T01:55:48.356843
FAISAL,0.6361,2026-04-30T01:55:48.361694
HDB,0.5719,2026-04-30T01:55:48.953168
HDB,0.0516,2026-04-30T01:55:48.958889
HDB,0.4939,2026-04-30T01:55:48.963702
HDB,0.9274,2026-04-30T01:55:48.968571
HDB,-0.9231,2026-04-30T01:55:48.973217
HDB,0.6705,2026-04-30T01:55:48.977893
HDB,0.6486,2026-04-30T01:55:48.982506
HDB,0.6361,2026-04-30T01:55:48.987145
ADIB,0.5719,2026-04-30T01:55:49.565104
ADIB,0.0516,2026-04-30T01:55:49.571195
ADIB,0.4939,2026-04-30T01:55:49.575997
ADIB,0.9274,2026-04-30T01:55:49.580860
ADIB,-0.9231,2026-04-30T01:55:49.585552
ADIB,0.6705,2026-04-30T01:55:49.590239
ADIB,0.6486,2026-04-30T01:55:49.594880
ADIB,0.6361,2026-04-30T01:55:49.599543
CIB,-0.296,2026-04-30T01:56:20.320565
CIB,0.0,2026-04-30T01:56:20.327695
CIB,0.0,2026-04-30T01:56:20.332833
CIB,-0.101,2026-04-30T01:56:20.339029
CIB,-0.872,2026-04-30T01:56:20.343699
CIB,-0.5664,2026-04-30T01:56:20.348413
CIB,0.5719,2026-04-30T01:56:20.353083
CIB,0.0516,2026-04-30T01:56:20.357810
CIB,0.4939,2026-04-30T01:56:20.362602
CIB,0.9274,2026-04-30T01:56:20.367374
FAISAL,0.5719,2026-04-30T01:56:20.922060
FAISAL,0.0516,2026-04-30T01:56:20.931732
FAISAL,0.4939,2026-04-30T01:56:20.937106
FAISAL,0.9274,2026-04-30T01:56:20.941892
FAISAL,-0.9231,2026-04-30T01:56:20.946535
FAISAL,0.6705,2026-04-30T01:56:20.951218
FAISAL,0.6486,2026-04-30T01:56:20.955919
FAISAL,0.6361,2026-04-30T01:56:20.960601
HDB,0.5719,2026-04-30T01:56:21.597233
